serviceRequest,startTime,duration,status
web,23.288,0.014000,OK
web,23.316,0.014000,OK
web,23.344,0.014000,OK
web,23.372,0.014000,OK
web,23.400,0.014000,OK
web,23.428,0.014000,OK
web,23.456,0.014000,OK
web,23.484,0.014000,OK
web,23.512,0.014000,OK
web,23.540,0.014000,OK
web,23.568,0.014000,OK
web,23.596,0.014000,OK
web,23.624,0.014000,OK
web,23.652,0.014000,OK
web,23.680,0.014000,OK
web,23.708,0.014000,OK
web,23.736,0.014000,OK
web,23.764,0.014000,OK
web,23.792,0.014000,OK
web,23.820,0.014000,OK
web,23.848,0.014000,OK
web,23.876,0.014000,OK
web,23.904,0.014000,OK
web,23.932,0.014000,OK
web,23.960,0.014000,OK
web,23.988,0.014000,OK
web,24.016,0.014000,OK
web,24.044,0.014000,OK
web,24.072,0.014000,OK
web,24.100,0.014000,OK
web,24.128,0.014000,OK
web,24.156,0.014000,OK
web,24.184,0.014000,OK
web,24.212,0.014000,OK
web,24.240,0.014000,OK
web,24.268,0.014000,OK
web,24.296,0.014000,OK
web,24.324,0.014000,OK
web,24.352,0.014000,OK
web,24.380,0.014000,OK
web,24.408,0.014000,OK
web,24.436,0.014000,OK
web,24.464,0.014000,OK
web,24.492,0.014000,OK
web,24.520,0.014000,OK
web,24.548,0.014000,OK
web,24.576,0.014000,OK
web,24.604,0.014000,OK
web,24.632,0.014000,OK
web,24.660,0.014000,OK
web,24.688,0.014000,OK
web,24.716,0.014000,OK
web,24.744,0.014000,OK
web,24.772,0.014000,OK
web,24.800,0.014000,OK
web,24.828,0.014000,OK
web,24.856,0.014000,OK
web,24.884,0.014000,OK
web,24.912,0.014000,OK
web,24.940,0.014000,OK
web,24.968,0.014000,OK
web,24.996,0.014000,OK
web,25.024,0.014000,OK
web,25.052,0.014000,OK
web,25.080,0.014000,OK
web,25.108,0.014000,OK
web,25.136,0.014000,OK
web,25.164,0.014000,OK
web,25.192,0.014000,OK
web,25.220,0.014000,OK
web,25.248,0.014000,OK
web,25.276,0.014000,OK
web,25.304,0.014000,OK
web,25.332,0.014000,OK
web,25.360,0.014000,OK
web,25.388,0.014000,OK
web,25.416,0.014000,OK
web,25.444,0.014000,OK
web,25.472,0.014000,OK
web,25.500,0.014000,OK
web,25.528,0.014000,OK
web,25.556,0.014000,OK
web,25.584,0.014000,OK
web,25.612,0.014000,OK
web,25.640,0.014000,OK
web,25.668,0.014000,OK
web,25.696,0.014000,OK
web,25.724,0.014000,OK
web,25.752,0.014000,OK
web,25.780,0.014000,OK
web,25.808,0.014000,OK
web,25.836,0.014000,OK
web,25.864,0.014000,OK
web,25.892,0.014000,OK
web,25.920,0.014000,OK
web,25.948,0.014000,OK
web,25.976,0.014000,OK
web,26.004,0.014000,OK
web,26.032,0.014000,OK
web,26.060,0.014000,OK
web,26.088,0.014000,OK
web,26.116,0.014000,OK
web,26.144,0.014000,OK
web,26.172,0.014000,OK
web,26.200,0.014000,OK
web,26.228,0.014000,OK
web,26.256,0.014000,OK
web,26.284,0.014000,OK
web,26.312,0.014000,OK
web,26.340,0.014000,OK
web,26.368,0.014000,OK
web,26.396,0.014000,OK
web,26.424,0.014000,OK
web,26.452,0.014000,OK
web,26.480,0.014000,OK
web,26.508,0.014000,OK
web,26.536,0.014000,OK
web,26.564,0.014000,OK
web,26.592,0.014000,OK
web,26.620,0.014000,OK
web,26.648,0.014000,OK
web,26.676,0.014000,OK
web,26.704,0.014000,OK
web,26.732,0.014000,OK
web,26.760,0.014000,OK
web,26.788,0.014000,OK
